"Status","Name","Duration in ms","Description"
"broken","tests.test_add_property.TestAddProperty#test_user_can_register_property_in_approved_state_as_individual","12389",""
"broken","tests.test_registration.TestRegistration#test_user_can_register_in_non_approved_state","18536",""
"passed","tests.test_registration.TestRegistration#test_user_cannot_register_without_first_name","3687",""
"broken","tests.test_add_property.TestAddProperty#test_user_can_register_property_in_approved_state_as_entity","12454",""
"broken","tests.test_registration.TestRegistration#test_user_can_register_in_approved_state","14016",""
"passed","tests.test_registration.TestRegistration#test_user_cannot_register_without_last_name","2837",""
"passed","tests.test_registration.TestRegistration#test_user_can_resend_code","61289",""
"broken","tests.test_registration.TestRegistration#test_user_can_register_without_indication_of_state","18277",""
"broken","tests.test_add_property.TestAddProperty#test_user_can_register_property_in_non_approved_state","12665",""
"broken","tests.test_registration.TestRegistration#test_user_can_register_in_multiple_approved_state","18773",""
"passed","tests.test_registration.TestRegistration#test_user_cannot_register_without_email","2788",""
"passed","tests.test_registration.TestRegistration#test_user_cannot_register_with_invalid_number","694",""
"broken","tests.test_add_property.TestAddProperty#test_user_can_register_property_in_approved_state_with_mailing_in_non_approved_state","12451",""
